legacy_url,new_url
/editoriale/analisi-2026-03-26-us7000s7z5-153-km-wsw-of-abepura-indonesia.php,/editoriale/blog/analisi-2026-03-26-us7000s7z5-153-km-wsw-of-abepura-indonesia
/editoriale/analisi-2026-03-27-us7000s812-42-km-nnw-of-barishal-pakistan.php,/editoriale/blog/analisi-2026-03-27-us7000s812-42-km-nnw-of-barishal-pakistan
/editoriale/analisi-2026-03-27-us7000s817-48-km-nw-of-barishal-pakistan.php,/editoriale/blog/analisi-2026-03-27-us7000s817-48-km-nw-of-barishal-pakistan
/editoriale/analisi-2026-03-27-us7000s83k-107-km-e-of-yamada-japan.php,/editoriale/blog/analisi-2026-03-27-us7000s83k-107-km-e-of-yamada-japan
/editoriale/retrospettiva-2010-04-11-usp000hb7n-1-km-s-of-nig-elas-spain.php,/editoriale/blog/retrospettiva-2010-04-11-usp000hb7n-1-km-s-of-nig-elas-spain
/editoriale/retrospettiva-2016-10-26-us1000725y-2-km-nnw-of-visso-italy.php,/editoriale/blog/retrospettiva-2016-10-26-us1000725y-2-km-nnw-of-visso-italy
/editoriale/retrospettiva-2016-10-30-us1000731j-5-km-ese-of-preci-italy.php,/editoriale/blog/retrospettiva-2016-10-30-us1000731j-5-km-ese-of-preci-italy
/editoriale/retrospettiva-2017-01-18-us10007twj-5-km-ese-of-cittareale-italy.php,/editoriale/blog/retrospettiva-2017-01-18-us10007twj-5-km-ese-of-cittareale-italy
/editoriale/retrospettiva-2022-11-09-us7000infp-central-italy.php,/editoriale/blog/retrospettiva-2022-11-09-us7000infp-central-italy
/editoriale/retrospettiva-2024-04-05-us7000ma59-33-km-nne-of-sarupathar-india.php,/editoriale/blog/retrospettiva-2024-04-05-us7000ma59-33-km-nne-of-sarupathar-india
/editoriale/retrospettiva-2025-10-26-us6000rjkv-57-km-nw-of-pante-makasar-timor-leste.php,/editoriale/blog/retrospettiva-2025-10-26-us6000rjkv-57-km-nw-of-pante-makasar-timor-leste
/editoriale/retrospettiva-2025-10-27-us6000rjsu-7-km-se-of-s-nd-rg-turkey.php,/editoriale/blog/retrospettiva-2025-10-27-us6000rjsu-7-km-se-of-s-nd-rg-turkey
